asuntoId	asunto	dia	fecha
1	Apartamiento del Reglamento sol. Dip. DONDA PEREZ, Victoria del 20/05/2009 17:52	20/05/2009	20/05/2009 17:52
2	Apartamiento del Reglamento sol. Dip. LOZANO, Claudio Raúl. del 20/05/2009 18:03	20/05/2009	20/05/2009 18:03
3	Exp. 100-S-08 - Orden del Día 903 - Votación en General. del 06/11/2008 11:52	06/11/2008	06/11/2008 11:52
4	Exp. 101-S-08 - Orden del Día 1130 - Votación en General. del 06/11/2008 11:47	06/11/2008	06/11/2008 11:47
5	Exp. 10-PE-08 - Orden del Día 1320 - Votación en General. del 26/11/2008 21:43	26/11/2008	26/11/2008 21:43
6	Exp. 117-S-07 - O. del Día 469 - Vot. en Gral. y Particular. del 20/08/2008 19:52	20/08/2008	20/08/2008 19:52
7	Exp. 1181-D-09 - O.D. 1778 - Vot. en General y Particular del 25/11/2009 13:54	25/11/2009	25/11/2009 13:54
8	Exp. 11-JGM-2008 - O. del Día 1005 - Artículos 72-74-75 y 76 del 16/10/2008 01:48	16/10/2008	16/10/2008 01:48
9	Exp. 11-JGM-2008 - Orden del Día 1005 - Artículo 10. del 16/10/2008 00:52	16/10/2008	16/10/2008 00:52
10	Exp. 11-JGM-2008 - Orden del Día 1005 - Artículo 26. del 16/10/2008 01:14	16/10/2008	16/10/2008 01:14
11	Exp. 11-JGM-2008 - Orden del Día 1005 - Artículo 8. del 16/10/2008 00:51	16/10/2008	16/10/2008 00:51
12	Exp. 11-JGM-2008 - Orden del Día 1005 - Artículo 9. del 16/10/2008 00:51	16/10/2008	16/10/2008 00:51
13	Exp. 11-JGM-2008 - Orden del Día 1005 - Votación en General. del 16/10/2008 00:24	16/10/2008	16/10/2008 00:24
14	Exp. 11-PE-08 - Votación en General. del 11/06/2008 21:35	11/06/2008	11/06/2008 21:35
15	Exp. 125-S-08 - O. D. 1638 - Vot. en General y Particular. del 11/03/2009 18:25	11/03/2009	11/03/2009 18:25
16	Exp. 12-JGM-09 - Orden del Día 2041 - Votación en General del 15/10/2009 02:30	15/10/2009	15/10/2009 02:30
17	Exp. 1302-D-06 - Votación en General. del 27/08/2008 18:25	27/08/2008	27/08/2008 18:25
18	Exp. 130-S-08 - Orden del Día 2133 - Votación en General. del 04/11/2009 22:03	04/11/2009	04/11/2009 22:03
19	Exp. 1310-D-08 - O.D. 2366 - Vot. en General y Particular. del 25/11/2009 15:45	25/11/2009	25/11/2009 15:45
20	Exp. 1325-D-09 - O.D. 2203 - Vot. en General y Particular del 11/11/2009 21:15	11/11/2009	11/11/2009 21:15
