asuntoId	asunto	dia	fecha
1	Exp. 82-S-07 - Orden del Día 52 - Votación en General.	28/02/2008	28/02/2008 18:10
2	Exp. 247-S-07 - Orden del Día 53 - Votación en General.	28/02/2008	28/02/2008 18:15
3	Exp. 170-S-07 - Orden del Día 57 - Votación en General.	28/02/2008	28/02/2008 18:17
4	Exp. 246-S-07 - Orden del Día 59 - Votación en General.	28/02/2008	28/02/2008 20:41
5	Exp. 16-PE-07 - Orden del Día 58 - Votación en General.	28/02/2008	28/02/2008 22:09
6	Exp. 275-S-06 - Orden del Día 55 - Votación en General.	28/02/2008	28/02/2008 23:14
7	Exp. 284-S-06 (y otro) - Orden del Día 56 - Vot. en General.	29/02/2008	29/02/2008 00:10
8	Exp. 249-S-07 - Orden del Día 54 - Votación en General.	29/02/2008	29/02/2008 00:22
9	Exp. 248-S-07 - Votación en General.	29/02/2008	29/02/2008 00:24
10	Expediente 1061-D-06.	12/03/2008	12/03/2008 16:39
11	Exp. 556-D-08 - Proyecto de Resolución.	12/03/2008	12/03/2008 18:40
12	Exp. 259-S-07 (y otro) - Votación en General.	12/03/2008	12/03/2008 23:14
13	Exp. 259-S-07 (y otro) - Artículo 12.	12/03/2008	12/03/2008 23:30
14	Expediente 922-D-08	27/03/2008	27/03/2008 01:25
15	Expediente 920-D-08 -- Votación en General	27/03/2008	27/03/2008 01:27
16	Exp. 257-S-06 - Orden del Día 76 - Votación en General.	09/04/2008	09/04/2008 22:46
17	Exp. 257-S-06 - Orden del Día 76 - Artículo 3.	09/04/2008	09/04/2008 22:53
18	Exp. 257-S-06 - Orden del Día 76 - Artículo 10.	09/04/2008	09/04/2008 22:59
19	Exp. 5764-D-07 - O. del Día 65 - Vot. en Gral. y Particular.	09/04/2008	09/04/2008 23:10
20	Vot. en General. y Particular de varios Proyectos de Ley.	09/04/2008	09/04/2008 23:14
21	Expediente 81-OV-08.	24/04/2008	24/04/2008 00:56
22	Exp. 1686-D-07 (y otro)-O.D. 63 - Vot. en Gral. y Particular	07/05/2008	07/05/2008 17:57
23	Exp. 70-PE-06 - Orden del Día 129.	07/05/2008	07/05/2008 17:59
24	Exp. 26-PE-07 - Orden del Día 128 - Votación en General.	07/05/2008	07/05/2008 18:01
25	Exp. 364-D-07 - Orden del Día 91 - Votación en General.	07/05/2008	07/05/2008 18:18
26	Exp. 3-PE-08 - Votación en General.	07/05/2008	07/05/2008 22:02
27	Exp. 4-PE-08 - Votación en General.	07/05/2008	07/05/2008 22:06
28	Exp. 5-PE-08 - Votación en General.	07/05/2008	07/05/2008 22:09
29	Exp. 6-PE-08 - Votación en General.	07/05/2008	07/05/2008 22:11
30	Exp. 6-PE-08 - Artículo 7.	07/05/2008	07/05/2008 22:21
31	Exp. 7-PE-08. Moción de pase a Comisión.	07/05/2008	07/05/2008 22:25
32	Exp. 7-PE-08 - Orden del Día 195 - Votación en General.	07/05/2008	07/05/2008 22:26
33	Incorporación al Trat. sobre Tablas del Expediente 513-D-06.	21/05/2008	21/05/2008 17:41
34	Exp. 134-S-07 - O.D. 267 - Votación en General y Particular.	21/05/2008	21/05/2008 19:07
35	Votación en General y Particular de Proyectos de Ley.	21/05/2008	21/05/2008 19:11
36	Exp. 30-S-08 y otro - Votación en General.	21/05/2008	21/05/2008 21:04
37	Exp. 1642-D-08 y otros - Votación en General.	21/05/2008	21/05/2008 21:25
38	Expedientes 513-D-06 y 2216-D-06.	21/05/2008	21/05/2008 22:36
39	Expediente 5864-D-06 - Orden del Día 172	04/06/2008	04/06/2008 17:28
40	Proyectos de Ley sin Disidencias ni Observaciones	04/06/2008	04/06/2008 17:30
41	Exped. 160-S-07 - Orden del día 346. Vot. en General	04/06/2008	04/06/2008 19:20
42	Exp. 160-S-07 - Orden del Día 346. Art. 11 modificado	04/06/2008	04/06/2008 21:01
43	Exp. 1-PE-08 - Orden del Día 292 - Votación en General.	11/06/2008	11/06/2008 18:46
44	Exp. 1877-D-08 - Orden del Día 326 - Votación en General.	11/06/2008	11/06/2008 18:47
45	Moción Dip. AGUAD de Pase a Cuarto Intermedio.	11/06/2008	11/06/2008 21:09
46	Exp. 2-PE-08 - Votación en General.	11/06/2008	11/06/2008 21:15
47	Exp. 11-PE-08 - Votación en General.	11/06/2008	11/06/2008 21:35
48	Exp. 288-D-08 - O. del Día 211 - Vot. en Gral. y Particular.	11/06/2008	11/06/2008 21:51
49	Votación en General y Particular de Proyectos de Ley.	11/06/2008	11/06/2008 21:52
50	Exp. 13-PE-08 - Votación en General.	05/07/2008	05/07/2008 12:14
51	Exp. 13-PE-08 - Artículo 1.-	05/07/2008	05/07/2008 12:59
52	Exp. 13-PE-08 - Artículo 2.-	05/07/2008	05/07/2008 13:17
53	Exp. 51-S-08 - Votación en General.	20/08/2008	20/08/2008 18:35
54	Exp. 98-S-07 - Orden del Día 457 - Votación en General.	20/08/2008	20/08/2008 18:40
55	Exp. 2213-D-08 - Orden del Día 500 - Votación en General.	20/08/2008	20/08/2008 18:52
56	Votación en General y Particular de Proyectos de Ley.	20/08/2008	20/08/2008 18:59
57	Exp. 44-S-08 - O. del Día 560 - Vot. en Gral. y Particular.	20/08/2008	20/08/2008 19:51
58	Exp. 117-S-07 - O. del Día 469 - Vot. en Gral. y Particular.	20/08/2008	20/08/2008 19:52
59	Exp. 18-PE-08 - Orden del Día 591 - Votación en General.	22/08/2008	22/08/2008 01:48
60	Exp. 2841-D-08 - O. del Día 585 - Vot. en Gral. y Particular	27/08/2008	27/08/2008 18:13
61	Exp. 55-S-08 - Votación en General.	27/08/2008	27/08/2008 18:17
62	Exp. 2675-D-08 - Votación en General.	27/08/2008	27/08/2008 18:21
63	Exp. 1302-D-06 - Votación en General.	27/08/2008	27/08/2008 18:25
64	Exp. 4326-D-08 - Votación en General y Particular.	27/08/2008	27/08/2008 18:28
65	Exp. 321-D-08 - O. del Día 109 - Vot. en Gral. y Particular.	27/08/2008	27/08/2008 18:31
66	Exp. 2595-D-08 (y otros) - Votación en General.	27/08/2008	27/08/2008 20:55
67	Exp. 3782-D-07 - Orden del Día 605 - Votación en General.	27/08/2008	27/08/2008 22:21
68	Exp. 79-D-08 - Orden del Día 626 - Votación en General.	27/08/2008	27/08/2008 22:34
69	Pedido de Pref.- Trat. sobre Tablas Exp 4744-D-08 Dip. MORAN	03/09/2008	03/09/2008 19:14
70	Pedido de Pref.- Trat. s/Tablas Exp 4750-D-08 Dip. SANCHEZ.	03/09/2008	03/09/2008 19:24
71	Exp. 19-PE-08 - Votación en General.	04/09/2008	04/09/2008 03:30
72	Exp. 19-PE-08 - Artículo 6.	04/09/2008	04/09/2008 03:39
73	Exp. 19-PE-08 - Artículo 15.	04/09/2008	04/09/2008 03:42
74	Exp. 21-PE-08 - O. D. 887 - Vot. en General y Particular.	01/10/2008	01/10/2008 12:01
75	Exp. 11-JGM-2008 - Orden del Día 1005 - Votación en General.	16/10/2008	16/10/2008 00:24
76	Exp. 11-JGM-2008 - Orden del Día 1005 - Artículo 8.	16/10/2008	16/10/2008 00:51
