diputadoID	nombre	distrito	genero
1	ACOSTA de AHUMADA, María Julia	Catamarca	F
2	ACUÑA KUNZ, Juan	Santa Cruz	M
3	ACUÑA, Hugo Rodolfo	Neuquén	M
4	AGOSTO, Walter	Santa Fe	M
5	AGUAD, Oscar Raúl	Córdoba	M
6	AGUIRRE de SORIA, Hilda	La Rioja	F
7	ALBARRACIN, Jorge Luis	Mendoza	M
8	ALBRISI, César Alfredo	Córdoba	M
9	ALCUAZ, Horacio Alberto	Buenos Aires	M
10	ALFARO, Germán Enrique	Tucumán	M
11	ALVAREZ, Juan José	Buenos Aires	M
12	ALVARO, Héctor Jorge	Mendoza	M
13	AMENTA, Marcelo Eduardo	Buenos Aires	M
14	ARBO, José Ameghino	Corrientes	M
15	ARDID, Mario Rolando	Córdoba	M
16	ARETA, María Josefa	Corrientes	F
17	ARGÜELLO, Octavio	Buenos Aires	M
18	ARRIAGA, Julio Esteban	Rio Negro	M
19	AUGSBURGER, Silvia	Santa Fe	F
20	AZCOITI, Pedro José	Buenos Aires	M
21	BALADRON, Manuel Justo	La Pampa	M
22	BALDATA, Griselda Angela	Córdoba	F
23	BARAGIOLA, Vilma Rosana	Buenos Aires	F
24	BARRIONUEVO, José Luis	Catamarca	M
25	BARRIOS, Miguel Angel	Santa Fe	M
26	BARTOLUCCI, Gilda Liliana	San Luis	F
27	BASTEIRO, Sergio Ariel	Buenos Aires	M
28	BAYONZO, Liliana Amelia	Chaco	F
29	BEDANO, Nora Esther	Córdoba	F
30	BELOUS, Nélida	Tierra del Fuego	F
31	BENAS, Verónica Claudia	Santa Fe	F
32	BERNAZZA, Claudia Alicia	Buenos Aires	F
33	BERRAUTE, Ana	Santa Fe	F
34	BERTOL, Paula María	Cdad.Aut.Bs.As.	F
35	BERTONE, Rosana Andrea	Tierra del Fuego	F
36	BEVERAGGI, Margarita Beatriz	Chaco	F
37	BIANCHI SILVESTRE, Marcela	Buenos Aires	F
38	BIANCHI, Ivana María	San Luis	F
39	BIANCO, Lía Fabiola	Misiones	F
40	BIDEGAIN, Gloria	Buenos Aires	F
41	BISUTTI, Delia Beatriz	Cdad.Aut.Bs.As.	F
42	BONASSO, Miguel	Cdad.Aut.Bs.As.	M
43	BRILLO, José	Neuquén	M
44	BRUE, Daniel Agustín	Santiago del Estero	M
45	BULLRICH, Esteban	Cdad.Aut.Bs.As.	M
46	BULLRICH, Patricia	Cdad.Aut.Bs.As.	F
